epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,441.331,1.09324,1.37783,1.20271,0.64078,0.55025,0.60006,0.39826,1.22496,1.24701,1.25441,0.00333133,0.00333133,0.00333133
2,864.592,1.22349,1.43333,1.29309,0.6006,0.46282,0.49995,0.31912,1.35035,1.46979,1.37371,0.00662068,0.00662068,0.00662068
3,1280.07,1.39818,1.73708,1.41778,0.44759,0.36753,0.3537,0.20168,1.58322,1.92516,1.56314,0.00986602,0.00986602,0.00986602
4,1695.43,1.50452,1.92672,1.50681,0.49373,0.39287,0.40185,0.23608,1.53382,1.80541,1.51127,0.009802,0.009802,0.009802
5,2209.6,1.45128,1.82251,1.4693,0.53003,0.43656,0.45618,0.28465,1.43268,1.60833,1.43674,0.009736,0.009736,0.009736
6,2747.16,1.39876,1.73947,1.43982,0.58628,0.45816,0.49423,0.31348,1.36893,1.50266,1.40123,0.00967,0.00967,0.00967
7,3118.08,1.35288,1.65588,1.40782,0.60555,0.45889,0.50989,0.32794,1.34054,1.46514,1.37089,0.009604,0.009604,0.009604
8,3493.49,1.32053,1.58972,1.38425,0.59965,0.48289,0.52138,0.3404,1.31213,1.44124,1.36801,0.009538,0.009538,0.009538
9,3998.76,1.30025,1.55111,1.36896,0.60287,0.49288,0.53847,0.35172,1.30492,1.38938,1.35183,0.009472,0.009472,0.009472
10,4583.76,1.28212,1.50804,1.357,0.66125,0.50154,0.56631,0.37004,1.27426,1.33283,1.33703,0.009406,0.009406,0.009406
11,4959.39,1.26283,1.48189,1.34624,0.64534,0.52896,0.5838,0.387,1.25684,1.28177,1.31589,0.00934,0.00934,0.00934
12,5332.1,1.25223,1.44634,1.3345,0.64199,0.5253,0.57926,0.38597,1.24609,1.2963,1.31279,0.009274,0.009274,0.009274
13,5703.43,1.22921,1.42178,1.32408,0.64676,0.52661,0.5795,0.38809,1.23201,1.26879,1.30518,0.009208,0.009208,0.009208
14,6064.6,1.23086,1.40236,1.32027,0.67634,0.52498,0.59163,0.39709,1.22165,1.23844,1.28713,0.009142,0.009142,0.009142
15,6424.05,1.20976,1.37635,1.30894,0.66259,0.54814,0.60514,0.41136,1.20465,1.21708,1.27495,0.009076,0.009076,0.009076
16,6783.95,1.19331,1.35155,1.29382,0.68012,0.53318,0.60792,0.41069,1.20278,1.20724,1.27453,0.00901,0.00901,0.00901
17,7152.67,1.19027,1.32182,1.29081,0.67319,0.56253,0.62444,0.42604,1.18196,1.17208,1.26015,0.008944,0.008944,0.008944
18,7526.46,1.18382,1.31444,1.29153,0.6852,0.56783,0.63629,0.43557,1.17564,1.15299,1.25552,0.008878,0.008878,0.008878
19,7911.03,1.17525,1.30171,1.28207,0.69333,0.56366,0.63689,0.43907,1.16966,1.14871,1.2526,0.008812,0.008812,0.008812
20,8288.44,1.17137,1.29779,1.27505,0.68593,0.57274,0.64127,0.4412,1.16226,1.13224,1.24775,0.008746,0.008746,0.008746
21,8675.37,1.15994,1.27099,1.27022,0.70306,0.57952,0.64922,0.44749,1.15685,1.11613,1.23996,0.00868,0.00868,0.00868
22,9042.15,1.15595,1.24748,1.26442,0.69031,0.59089,0.6564,0.45471,1.14519,1.10394,1.22993,0.008614,0.008614,0.008614
23,9404.66,1.14623,1.24149,1.25768,0.70429,0.58362,0.65775,0.45856,1.13637,1.09146,1.22466,0.008548,0.008548,0.008548
24,9764.61,1.13228,1.22816,1.25194,0.70106,0.59686,0.66079,0.46132,1.13515,1.08945,1.22107,0.008482,0.008482,0.008482
25,10113.2,1.13465,1.22056,1.25454,0.71611,0.59348,0.66647,0.46334,1.12942,1.0728,1.21997,0.008416,0.008416,0.008416
26,10461.4,1.13882,1.2148,1.25142,0.72491,0.58804,0.67051,0.46755,1.12813,1.0658,1.21355,0.00835,0.00835,0.00835
27,10808.8,1.12379,1.21487,1.24203,0.72023,0.59689,0.675,0.47386,1.11884,1.05581,1.21187,0.008284,0.008284,0.008284
28,11168.4,1.11987,1.18703,1.24064,0.73289,0.59558,0.67845,0.4746,1.11475,1.04404,1.20617,0.008218,0.008218,0.008218
29,11535.2,1.11301,1.1819,1.23896,0.72069,0.60361,0.68369,0.47869,1.11055,1.03705,1.20102,0.008152,0.008152,0.008152
30,11904,1.11407,1.16971,1.23343,0.71901,0.61248,0.68383,0.48303,1.10065,1.03257,1.19681,0.008086,0.008086,0.008086
31,12271.3,1.10372,1.16477,1.22776,0.72832,0.60915,0.6867,0.4856,1.09907,1.0187,1.19479,0.00802,0.00802,0.00802
32,12636.1,1.09784,1.15707,1.22626,0.73035,0.61203,0.68876,0.48375,1.10374,1.01225,1.19635,0.007954,0.007954,0.007954
33,12991.7,1.09387,1.15126,1.22133,0.73617,0.60611,0.69222,0.49043,1.09591,1.01108,1.19115,0.007888,0.007888,0.007888
34,13352.7,1.09117,1.14791,1.221,0.73301,0.61428,0.69392,0.49264,1.09444,1.00476,1.19064,0.007822,0.007822,0.007822
35,13724.3,1.08846,1.12747,1.21281,0.73441,0.61795,0.69783,0.49452,1.09129,0.99085,1.1856,0.007756,0.007756,0.007756
36,14099.8,1.08521,1.12307,1.21326,0.7474,0.61052,0.69942,0.49566,1.08672,0.98789,1.18296,0.00769,0.00769,0.00769
37,14482,1.08221,1.10753,1.21572,0.74457,0.62173,0.70102,0.49677,1.08654,0.98289,1.18545,0.007624,0.007624,0.007624
38,14849.7,1.07637,1.11594,1.2144,0.74932,0.62108,0.70296,0.49999,1.08006,0.97858,1.18038,0.007558,0.007558,0.007558
39,15213.8,1.07525,1.09914,1.20742,0.74525,0.61951,0.70605,0.50257,1.07803,0.96993,1.17935,0.007492,0.007492,0.007492
40,15577.2,1.06623,1.09441,1.20783,0.7484,0.6253,0.70815,0.50403,1.0791,0.96867,1.17839,0.007426,0.007426,0.007426
